Date,Time,Ptch(rad),Roll(rad),Yaw(rad),FM(...),1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),VFAS(V),GSpd(kmh),Hdg(@),Bat_(%),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LSW,TxBat(V)
2020-04-17,19:39:34.020,0.01,0.02,0.23,0,30,30,100,71,2,25,24,100,68,50.379046 -4.793673,-1,11,11.4,0.0,0,11.4,0.3,16.59,50,2,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:34.550,0.01,0.02,0.23,0,31,31,100,80,2,25,25,100,71,50.379047 -4.793671,-1,12,11.4,0.0,0,11.4,0.1,16.59,50,0,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:35.080,0.01,0.02,0.23,0,31,31,100,75,2,25,25,100,71,50.379047 -4.793671,-1,12,11.4,0.0,0,11.4,0.3,16.59,50,0,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:35.590,0.01,0.02,0.23,0,29,29,100,78,2,25,24,100,71,50.379048 -4.793670,-1,10,11.4,0.0,0,11.4,0.6,16.59,50,0,8,-1024,0,-19,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:36.120,0.01,0.02,0.23,0,29,29,100,86,2,25,25,99,70,50.379048 -4.793669,-1,11,11.4,0.0,0,11.4,0.5,16.59,50,0,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:36.620,0.01,0.02,0.23,0,29,29,100,79,2,25,25,100,70,50.379049 -4.793668,-1,11,11.4,0.0,0,11.4,0.2,16.59,50,0,5,-1024,0,-19,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:37.150,0.01,0.02,0.23,0,31,31,100,75,2,25,25,100,70,50.379049 -4.793668,-1,11,11.4,0.0,0,11.4,0.1,16.59,50,2,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:37.650,0.01,0.02,0.24,0,29,29,100,79,2,25,25,99,72,50.379050 -4.793667,-1,12,11.4,0.0,0,11.4,0.2,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:38.160,0.01,0.02,0.24,0,29,29,100,82,2,25,25,100,70,50.379051 -4.793665,-1,12,11.4,0.0,0,11.4,0.2,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:38.660,0.01,0.02,0.24,0,30,30,100,77,2,25,25,99,70,50.379052 -4.793664,-1,12,11.4,0.0,0,11.4,0.1,16.59,50,2,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:39.160,0.01,0.02,0.24,0,30,30,100,78,2,25,25,100,69,50.379053 -4.793664,-1,11,11.4,0.0,0,11.4,0.1,16.59,50,0,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:39.670,0.01,0.02,0.24,0,30,30,100,79,2,25,25,100,69,50.379053 -4.793663,-1,11,11.4,0.0,0,11.4,0.2,16.59,50,0,5,-1024,-3,-19,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:40.190,0.01,0.02,0.24,0,29,29,100,77,2,25,25,100,70,50.379054 -4.793662,0,11,11.4,0.0,0,11.4,0.4,16.59,50,0,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:40.690,0.01,0.02,0.24,0,30,30,100,63,2,25,25,100,70,50.379055 -4.793661,0,11,11.4,0.0,0,11.4,0.3,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:41.230,0.01,0.02,0.24,0,30,30,100,82,2,25,24,100,71,50.379055 -4.793660,0,11,11.4,0.0,0,11.4,0.0,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:41.740,0.01,0.02,0.24,0,29,29,100,76,2,25,25,100,69,50.379056 -4.793660,0,11,11.4,0.0,0,11.4,0.1,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:42.280,0.01,0.02,0.24,0,30,30,100,77,2,25,25,100,70,50.379056 -4.793659,0,12,11.4,0.0,0,11.4,0.1,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:42.810,0.01,0.02,0.24,0,30,30,100,64,2,25,25,99,69,50.379057 -4.793658,0,12,11.4,0.0,0,11.4,0.1,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:43.350,0.01,0.02,0.25,0,29,29,100,79,2,25,25,100,69,50.379057 -4.793658,0,12,11.4,0.0,0,11.4,0.2,16.59,50,0,5,-1024,-3,-19,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:43.860,0.01,0.02,0.25,0,29,29,100,82,2,25,25,100,70,50.379057 -4.793657,0,12,11.4,0.0,0,11.4,0.3,16.59,50,0,8,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:44.380,0.01,0.02,0.25,0,30,30,100,76,2,25,25,100,73,50.379057 -4.793656,0,12,11.4,0.0,0,11.4,0.2,16.59,50,2,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:44.940,0.01,0.02,0.25,0,29,29,100,82,2,25,25,99,72,50.379058 -4.793656,0,12,11.4,0.0,0,11.4,0.1,16.59,50,0,5,-1024,-3,-19,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:45.460,0.01,0.02,0.25,0,30,30,100,64,2,25,25,100,71,50.379058 -4.793654,0,12,11.4,0.0,0,11.4,0.1,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:45.960,0.01,0.02,0.25,0,29,29,100,77,2,25,25,100,70,50.379058 -4.793654,0,12,11.4,0.0,0,11.4,0.3,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:46.480,0.01,0.02,0.25,0,29,29,100,78,2,25,25,100,71,50.379058 -4.793654,0,12,11.4,0.0,0,11.4,0.4,16.59,50,2,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:46.990,0.01,0.02,0.25,0,30,30,100,77,2,25,25,100,71,50.379057 -4.793653,0,12,11.4,0.0,0,11.4,0.4,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:47.530,0.01,0.02,0.25,0,30,30,100,80,2,25,25,100,68,50.379057 -4.793652,0,12,11.4,0.0,0,11.4,0.4,16.59,50,0,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:48.060,0.01,0.02,0.25,0,30,30,100,55,2,25,25,100,71,50.379057 -4.793652,0,11,11.4,0.0,0,11.4,0.3,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:48.590,0.01,0.02,0.26,0,29,29,100,79,2,25,25,100,69,50.379057 -4.793651,-1,11,11.4,0.0,0,11.4,0.2,16.59,50,2,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:49.120,0.01,0.02,0.26,0,29,29,100,78,2,25,25,100,69,50.379057 -4.793651,-1,11,11.4,0.0,0,11.4,0.1,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:49.650,0.01,0.02,0.26,0,30,30,100,76,2,25,25,100,70,50.379057 -4.793651,0,12,11.4,0.0,0,11.4,0.1,16.59,50,2,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:50.160,0.01,0.02,0.26,0,30,30,100,82,2,25,25,100,70,50.379057 -4.793651,0,11,11.4,0.0,0,11.4,0.2,16.59,50,0,5,-1024,0,-18,-1024,-18,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:50.670,0.01,0.02,0.26,0,31,31,100,80,2,25,25,100,72,50.379057 -4.793650,0,12,11.4,0.0,0,11.4,0.1,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:51.170,0.01,0.02,0.26,0,30,30,100,80,2,25,25,100,72,50.379057 -4.793650,0,12,11.4,0.0,0,11.4,0.2,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:51.680,0.01,0.02,0.26,0,29,29,100,77,2,25,25,100,72,50.379057 -4.793649,0,12,11.4,0.0,0,11.4,0.0,16.59,50,0,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:52.190,0.01,0.02,0.26,0,30,30,100,78,2,25,25,100,71,50.379057 -4.793649,0,12,11.4,0.0,0,11.4,0.0,16.59,50,2,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:52.710,0.01,0.02,0.26,0,30,30,100,80,2,25,25,100,70,50.379057 -4.793648,0,12,11.4,0.0,0,11.4,0.2,16.59,50,0,5,-1024,-3,-19,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:53.220,0.01,0.02,0.26,0,29,29,100,76,2,25,25,100,69,50.379056 -4.793648,0,12,11.4,0.0,0,11.4,0.2,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:53.740,0.01,0.02,0.26,0,30,30,100,80,2,25,25,100,70,50.379056 -4.793647,0,12,11.4,0.0,0,11.4,0.1,16.59,50,0,5,-1024,-3,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:54.270,0.01,0.02,0.27,0,30,30,100,58,2,25,25,100,71,50.379056 -4.793646,0,13,11.4,0.0,0,11.4,0.0,16.59,50,0,5,-1024,0,-19,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:54.800,0.01,0.02,0.27,0,30,30,100,77,2,25,25,100,70,50.379056 -4.793646,0,13,11.4,0.0,0,11.4,0.1,16.59,50,0,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:55.340,0.01,0.02,0.27,0,30,30,100,81,2,25,25,100,71,50.379056 -4.793645,0,13,11.4,0.0,0,11.4,0.3,16.59,50,2,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
2020-04-17,19:39:55.860,0.01,0.02,0.27,0,29,29,100,81,2,25,25,100,70,50.379056 -4.793644,0,13,11.4,0.0,0,11.4,0.3,16.59,50,2,5,-1024,0,-18,-1024,-17,-30,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000166,7.4
